building,building_id,floorIndex,poiType,poiTypeId,poiName,poiTitleEn,capacity,email,x,y,sensor,sensorCnt
NL-UTC-UTRECHTLR,200,4,Comfort,1200,UTRECHTLR_Floor 4_CFS_7,N.4.06,,,1781.570297,2613.965522,eui-3135343053376d11,1
NL-UTC-UTRECHTLR,200,4,Comfort,1200,UTRECHTLR_Floor 4_CFS_6,Z.4.01,,,513.2488843,4132.559287,eui-3135343063377011,1
NL-UTC-UTRECHTLR,200,4,Comfort,1200,UTRECHTLR_Floor 4_CFS_5,Z.4.06,,,2121.202338,4391.639297,eui-3135343056377311,1
NL-UTC-UTRECHTLR,200,4,Comfort,1200,UTRECHTLR_Floor 4_CFS_4,N.4.14,,,4508.575308,2442.533804,eui-313534307c377011,1
NL-UTC-UTRECHTLR,200,4,Comfort,1200,UTRECHTLR_Floor 4_CFS_2,N.4.20,,,6493.634531,2236.995344,eui-3135343069376911,1
NL-UTC-UTRECHTLR,200,4,Comfort,1200,UTRECHTLR_Floor 4_CFS_1,M.4.12,,,4021.298715,3490.830855,eui-3135343051377211,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_209042,Z.4.10.4,8,cr.nl.utrz.4.10.4@capgemini.com,3327.86015,3975.543908,eui-3334373958376209,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_209041,Z.4.10.3,8,cr.nl.utrz.4.10.3@capgemini.com,3141.818471,3984.385028,eui-3334373964376e09,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208939,N.4.21.4,10,cr.nl.utrn.4.21.4@capgemini.com,6647.322541,2104.225674,eui-3334373973376e09,2
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208939,N.4.21.4,10,cr.nl.utrn.4.21.4@capgemini.com,6647.322541,2104.225674,eui-3334373959376209,2
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208936,N.4.20.6,8,cr.nl.utrn.4.20.6@capgemini.com,6537.330141,2614.154872,eui-333437394b376f09,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208877,N.4.15.4,8,cr.nl.utrn.4.15.4@capgemini.com,4689.575186,2260.483993,eui-3334373962377309,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208835,N.4.10.6,8,cr.nl.utrn.4.10.6alleenvoorortereserveren@capgemini.com,3236.175911,2877.967112,eui-333437395b376e09,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208834,N.4.10.3,10,cr.nl.utrn.4.10.3@capgemini.com,2995.418391,2409.844153,eui-3334373958376109,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208815,N.4.09.5,8,cr.nl.utrn.4.09.5@capgemini.com,2807.590232,2917.243591,eui-3334373965376209,1
NL-UTC-UTRECHTLR,200,4,room_conference,4,NL-UTC-UTRECHTLROF_CDM_7_208721,M.4.12.6,14,cr.nl.utrm.4.12.6trio@capgemini.com,3795.565829,3435.33583,eui-3334373970376d09,1
